  ('AI-1000', 'Air India', 'Mumbai', 'Delhi', NOW() + INTERVAL '0 days 2 hours', NOW() + INTERVAL '0 days 5 hours 43 minutes', 6421.00, 180, 53),
  ('GO-1296', 'GoAir', 'Nagpur', 'Guwahati', NOW() + INTERVAL '1 days 6 hours', NOW() + INTERVAL '1 days 8 hours 34 minutes', 7959.00, 180, 16),
  ('AI-1297', 'AirAsia India', 'Nagpur', 'Bangalore', NOW() + INTERVAL '1 days 18 hours', NOW() + INTERVAL '1 days 20 hours 42 minutes', 4849.00, 180, 92),
  ('ST-1298', 'Star Air', 'Nagpur', 'Ranchi', NOW() + INTERVAL '2 days 18 hours', NOW() + INTERVAL '2 days 21 hours 58 minutes', 6122.00, 180, 1),
  ('AK-1299', 'Akasa Air', 'Nagpur', 'Hyderabad', NOW() + INTERVAL '2 days 18 hours', NOW() + INTERVAL '2 days 19 hours 25 minutes', 5427.00, 180, 30),
  ('AI-1300', 'Air India', 'Nagpur', 'Mumbai', NOW() + INTERVAL '3 days 12 hours', NOW() + INTERVAL '3 days 13 hours 45 minutes', 4369.00, 180, 3),
  ('SP-1301', 'SpiceJet', 'Nagpur', 'Chennai', NOW() + INTERVAL '3 days 13 hours', NOW() + INTERVAL '3 days 15 hours 17 minutes', 6758.00, 180, 46),
  ('GO-1302', 'GoAir', 'Nagpur', 'Delhi', NOW() + INTERVAL '4 days 20 hours', NOW() + INTERVAL '4 days 21 hours 26 minutes', 5680.00, 180, 159),
  ('AI-1303', 'AirAsia India', 'Nagpur', 'Kolkata', NOW() + INTERVAL '4 days 18 hours', NOW() + INTERVAL '4 days 21 hours 38 minutes', 7495.00, 180, 142),
  ('ST-1304', 'Star Air', 'Nagpur', 'Bangalore', NOW() + INTERVAL '5 days 5 hours', NOW() + INTERVAL '5 days 7 hours 59 minutes', 6808.00, 180, 102),
  ('AK-1305', 'Akasa Air', 'Nagpur', 'Pune', NOW() + INTERVAL '5 days 5 hours', NOW() + INTERVAL '5 days 6 hours 56 minutes', 3011.00, 180, 7),
  ('AI-1306', 'Air India', 'Nagpur', 'Hyderabad', NOW() + INTERVAL '6 days 11 hours', NOW() + INTERVAL '6 days 13 hours 53 minutes', 5396.00, 180, 117),
  ('SP-1307', 'SpiceJet', 'Nagpur', 'Ahmedabad', NOW() + INTERVAL '6 days 2 hours', NOW() + INTERVAL '6 days 4 hours 48 minutes', 5507.00, 180, 20),
  ('ST-1308', 'Star Air', 'Visakhapatnam', 'Guwahati', NOW() + INTERVAL '0 days 4 hours', NOW() + INTERVAL '0 days 5 hours 26 minutes', 4938.00, 180, 64),
  ('AK-1309', 'Akasa Air', 'Visakhapatnam', 'Bangalore', NOW() + INTERVAL '0 days 13 hours', NOW() + INTERVAL '0 days 15 hours 47 minutes', 4271.00, 180, 161),
  ('AI-1310', 'Air India', 'Visakhapatnam', 'Ranchi', NOW() + INTERVAL '1 days 3 hours', NOW() + INTERVAL '1 days 5 hours 58 minutes', 3657.00, 180, 44),
  ('SP-1311', 'SpiceJet', 'Visakhapatnam', 'Hyderabad', NOW() + INTERVAL '1 days 12 hours', NOW() + INTERVAL '1 days 15 hours 36 minutes', 5625.00, 180, 124),
  ('GO-1312', 'GoAir', 'Visakhapatnam', 'Mumbai', NOW() + INTERVAL '2 days 16 hours', NOW() + INTERVAL '2 days 19 hours 33 minutes', 6299.00, 180, 141),
  ('AI-1313', 'AirAsia India', 'Visakhapatnam', 'Chennai', NOW() + INTERVAL '2 days 12 hours', NOW() + INTERVAL '2 days 15 hours 39 minutes', 4567.00, 180, 147),
  ('ST-1314', 'Star Air', 'Visakhapatnam', 'Delhi', NOW() + INTERVAL '3 days 18 hours', NOW() + INTERVAL '3 days 19 hours 50 minutes', 7388.00, 180, 68),
  ('AK-1315', 'Akasa Air', 'Visakhapatnam', 'Kolkata', NOW() + INTERVAL '3 days 11 hours', NOW() + INTERVAL '3 days 12 hours 29 minutes', 6719.00, 180, 140),
  ('AI-1316', 'Air India', 'Visakhapatnam', 'Bangalore', NOW() + INTERVAL '4 days 8 hours', NOW() + INTERVAL '4 days 10 hours 41 minutes', 3104.00, 180, 25),
  ('SP-1317', 'SpiceJet', 'Visakhapatnam', 'Pune', NOW() + INTERVAL '4 days 20 hours', NOW() + INTERVAL '4 days 22 hours 40 minutes', 7545.00, 180, 23),
  ('GO-1318', 'GoAir', 'Visakhapatnam', 'Hyderabad', NOW() + INTERVAL '5 days 16 hours', NOW() + INTERVAL '5 days 17 hours 58 minutes', 4883.00, 180, 75),
  ('AI-1319', 'AirAsia India', 'Visakhapatnam', 'Ahmedabad', NOW() + INTERVAL '5 days 2 hours', NOW() + INTERVAL '5 days 4 hours 27 minutes', 6618.00, 180, 12),
  ('ST-1320', 'Star Air', 'Visakhapatnam', 'Chennai', NOW() + INTERVAL '6 days 15 hours', NOW() + INTERVAL '6 days 16 hours 31 minutes', 6176.00, 180, 13),
  ('AK-1321', 'Akasa Air', 'Visakhapatnam', 'Jaipur', NOW() + INTERVAL '6 days 8 hours', NOW() + INTERVAL '6 days 11 hours 51 minutes', 4978.00, 180, 63),
  ('GO-1322', 'GoAir', 'Guwahati', 'Ranchi', NOW() + INTERVAL '0 days 12 hours', NOW() + INTERVAL '0 days 14 hours 50 minutes', 3333.00, 180, 63),
  ('AI-1323', 'AirAsia India', 'Guwahati', 'Hyderabad', NOW() + INTERVAL '0 days 13 hours', NOW() + INTERVAL '0 days 15 hours 45 minutes', 3067.00, 180, 97),
  ('ST-1324', 'Star Air', 'Guwahati', 'Mumbai', NOW() + INTERVAL '1 days 7 hours', NOW() + INTERVAL '1 days 9 hours 30 minutes', 3988.00, 180, 57),
  ('AK-1325', 'Akasa Air', 'Guwahati', 'Chennai', NOW() + INTERVAL '1 days 13 hours', NOW() + INTERVAL '1 days 15 hours 32 minutes', 7761.00, 180, 98),
  ('AI-1326', 'Air India', 'Guwahati', 'Delhi', NOW() + INTERVAL '2 days 20 hours', NOW() + INTERVAL '2 days 21 hours 22 minutes', 4829.00, 180, 144),
  ('SP-1327', 'SpiceJet', 'Guwahati', 'Kolkata', NOW() + INTERVAL '2 days 9 hours', NOW() + INTERVAL '2 days 12 hours 30 minutes', 6615.00, 180, 117),
  ('GO-1328', 'GoAir', 'Guwahati', 'Bangalore', NOW() + INTERVAL '3 days 10 hours', NOW() + INTERVAL '3 days 13 hours 21 minutes', 4256.00, 180, 156),
  ('AI-1329', 'AirAsia India', 'Guwahati', 'Pune', NOW() + INTERVAL '3 days 8 hours', NOW() + INTERVAL '3 days 11 hours 26 minutes', 6680.00, 180, 46),
  ('ST-1330', 'Star Air', 'Guwahati', 'Hyderabad', NOW() + INTERVAL '4 days 6 hours', NOW() + INTERVAL '4 days 7 hours 56 minutes', 7798.00, 180, 105),
  ('AK-1331', 'Akasa Air', 'Guwahati', 'Ahmedabad', NOW() + INTERVAL '4 days 8 hours', NOW() + INTERVAL '4 days 11 hours 22 minutes', 7719.00, 180, 153),
  ('AI-1332', 'Air India', 'Guwahati', 'Chennai', NOW() + INTERVAL '5 days 16 hours', NOW() + INTERVAL '5 days 18 hours 19 minutes', 6679.00, 180, 121),
  ('SP-1333', 'SpiceJet', 'Guwahati', 'Jaipur', NOW() + INTERVAL '5 days 16 hours', NOW() + INTERVAL '5 days 19 hours 47 minutes', 3593.00, 180, 152),
  ('GO-1334', 'GoAir', 'Guwahati', 'Kolkata', NOW() + INTERVAL '6 days 19 hours', NOW() + INTERVAL '6 days 22 hours 21 minutes', 6443.00, 180, 163),
  ('AI-1335', 'AirAsia India', 'Guwahati', 'Lucknow', NOW() + INTERVAL '6 days 11 hours', NOW() + INTERVAL '6 days 13 hours 43 minutes', 3801.00, 180, 147),
  ('AI-1336', 'Air India', 'Ranchi', 'Mumbai', NOW() + INTERVAL '0 days 14 hours', NOW() + INTERVAL '0 days 17 hours 24 minutes', 7394.00, 180, 135),
  ('SP-1337', 'SpiceJet', 'Ranchi', 'Chennai', NOW() + INTERVAL '0 days 3 hours', NOW() + INTERVAL '0 days 5 hours 56 minutes', 6716.00, 180, 147),
  ('GO-1338', 'GoAir', 'Ranchi', 'Delhi', NOW() + INTERVAL '1 days 17 hours', NOW() + INTERVAL '1 days 20 hours 27 minutes', 3693.00, 180, 30),
  ('AI-1339', 'AirAsia India', 'Ranchi', 'Kolkata', NOW() + INTERVAL '1 days 10 hours', NOW() + INTERVAL '1 days 13 hours 51 minutes', 5891.00, 180, 161),
  ('ST-1340', 'Star Air', 'Ranchi', 'Bangalore', NOW() + INTERVAL '2 days 14 hours', NOW() + INTERVAL '2 days 17 hours 49 minutes', 3496.00, 180, 106),
  ('AK-1341', 'Akasa Air', 'Ranchi', 'Pune', NOW() + INTERVAL '2 days 16 hours', NOW() + INTERVAL '2 days 18 hours 26 minutes', 5794.00, 180, 53),
  ('AI-1342', 'Air India', 'Ranchi', 'Hyderabad', NOW() + INTERVAL '3 days 8 hours', NOW() + INTERVAL '3 days 10 hours 22 minutes', 7187.00, 180, 137),
  ('SP-1343', 'SpiceJet', 'Ranchi', 'Ahmedabad', NOW() + INTERVAL '3 days 7 hours', NOW() + INTERVAL '3 days 9 hours 35 minutes', 7632.00, 180, 86),
  ('GO-1344', 'GoAir', 'Ranchi', 'Chennai', NOW() + INTERVAL '4 days 2 hours', NOW() + INTERVAL '4 days 5 hours 36 minutes', 7105.00, 180, 48),
  ('AI-1345', 'AirAsia India', 'Ranchi', 'Jaipur', NOW() + INTERVAL '4 days 13 hours', NOW() + INTERVAL '4 days 16 hours 15 minutes', 3764.00, 180, 19),
  ('ST-1346', 'Star Air', 'Ranchi', 'Kolkata', NOW() + INTERVAL '5 days 11 hours', NOW() + INTERVAL '5 days 14 hours 49 minutes', 7573.00, 180, 173),
  ('AK-1347', 'Akasa Air', 'Ranchi', 'Lucknow', NOW() + INTERVAL '5 days 13 hours', NOW() + INTERVAL '5 days 15 hours 27 minutes', 7279.00, 180, 167),
  ('AI-1348', 'Air India', 'Ranchi', 'Pune', NOW() + INTERVAL '6 days 8 hours', NOW() + INTERVAL '6 days 10 hours 42 minutes', 7949.00, 180, 72),
  ('SP-1349', 'SpiceJet', 'Ranchi', 'Goa', NOW() + INTERVAL '6 days 5 hours', NOW() + INTERVAL '6 days 8 hours 35 minutes', 4661.00, 180, 94),
